Departamento,2020,2021,2022,2023,Total
ANTIOQUIA,2930,3128,3356,3020,12434
ATLANTICO,752,1004,1010,972,3738
BOGOTA D.C,1530,1770,1768,1810,6878
BOLIVAR,612,700,880,1046,3238
BOYACA,366,424,456,404,1650
CALDAS,302,344,372,316,1334
CAQUETA,236,206,256,250,948
CAUCA,980,1132,1350,1170,4632
CESAR,470,586,704,618,2378
CORDOBA,378,498,536,518,1930
CUNDINAMARCA,782,990,1148,1242,4162
CHOCO,280,308,404,260,1252
HUILA,526,670,620,754,2570
LA GUAJIRA,260,296,296,276,1128
MAGDALENA,532,640,714,692,2578
META,542,530,600,614,2286
NARIÃ‘O,584,648,644,730,2606
NT.SANTANDER,854,916,748,892,3410
QUINDIO,286,262,294,256,1098
RISARALDA,340,388,420,392,1540
SANTANDER,636,842,894,908,3280
SUCRE,174,308,300,476,1258
TOLIMA,496,632,710,696,2534
VALLE,2722,3302,3106,2898,12028
ARAUCA,216,322,444,274,1256
CASANARE,276,236,240,242,994
PUTUMAYO,228,256,384,372,1240
AMAZONAS,52,56,54,72,234
GUAINIA,20,38,34,22,114
GUAVIARE,8,44,14,6,72
VAUPES,28,60,54,64,206
VICHADA,16,14,30,12,72
SAN ANDRES,22,24,26,42,114
